order_details_id,Revenue
1,13.250
2,16.000
3,18.500
4,20.750
5,16.000
6,20.750
7,16.500
8,20.750
9,16.500
10,16.500
11,12.750
12,12.000
13,12.500
14,12.500
15,12.000
16,12.000
17,20.500
18,20.750
19,12.500
20,12.000
21,20.750
22,20.750
23,12.000
24,20.250
25,20.750
26,20.750
27,20.750
28,16.750
29,15.250
30,20.750
31,12.750
32,20.750
33,16.500
34,20.250
35,12.000
36,12.000
37,18.500
38,20.750
39,12.000
40,17.950
41,12.000
42,20.750
43,20.750
44,16.250
45,18.500
46,14.750
47,16.500
48,12.750
49,32.000
50,20.250
51,12.500
52,20.250
53,20.500
54,20.500
55,20.250
56,12.000
57,18.500
58,20.500
59,18.500
60,16.000
61,20.750
62,12.750
63,16.750
64,16.000
65,12.500
66,12.500
67,16.250
68,20.750
69,12.000
70,20.250
71,20.750
72,16.000
73,20.250
74,12.750
75,12.000
76,20.750
77,16.000
78,9.750
79,12.000
80,20.250
81,20.500
82,16.500
83,20.750
84,12.000
85,12.000
86,16.000
87,17.500
88,12.500
89,20.750
90,16.750
91,16.000
92,20.750
93,20.250
94,10.500
95,20.500
96,20.750
97,17.950
98,12.750
99,14.750
100,12.000
101,12.000
102,18.500
103,20.250
104,16.500
105,16.750
106,16.500
107,20.750
108,12.500
109,17.950
110,10.500
111,16.750
112,20.750
113,20.500
114,16.750
115,20.750
116,12.000
117,16.750
118,12.000
119,20.750
120,20.750
121,20.250
122,25.500
123,20.750
124,17.500
125,16.500
126,20.250
127,20.750
128,11.000
129,16.500
130,16.500
131,20.750
132,12.500
133,20.750
134,16.000
135,20.250
136,16.750
137,16.000
138,18.500
139,12.500
140,12.750
141,11.000
142,15.250
143,20.750
144,14.750
145,16.750
146,20.750
147,16.750
148,16.500
149,14.500
150,12.000
151,11.000
152,12.250
153,12.500
154,16.500
155,16.000
156,16.000
157,20.750
158,16.000
159,20.750
160,16.500
161,20.750
162,12.750
163,20.750
164,20.750
165,20.250
166,12.750
167,18.500
168,20.250
169,12.500
170,20.750
171,12.500
172,20.250
173,20.500
174,12.000
175,16.500
176,21.000
177,20.750
178,16.750
179,13.250
180,12.000
181,12.000
182,17.950
183,16.000
184,62.250
185,12.750
186,20.500
187,11.000
188,20.750
189,9.750
190,16.750
191,20.750
192,12.000
193,16.750
194,20.750
195,16.000
196,12.750
197,15.250
198,16.000
199,12.000
200,20.750
201,16.000
202,16.500
203,16.000
204,16.000
205,20.750
206,12.500
207,18.500
208,20.750
209,20.750
210,20.250
211,12.750
212,41.500
213,12.750
214,9.750
215,16.750
216,20.750
217,16.500
218,12.750
219,12.500
220,16.500
221,12.000
222,12.500
223,32.000
224,16.250
225,16.000
226,12.750
227,12.000
228,20.750
229,12.000
230,12.000
231,20.500
232,20.500
233,20.750
234,16.500
235,20.750
236,15.250
237,20.750
238,16.500
239,12.750
240,12.500
241,12.500
242,16.750
243,16.750
244,16.750
245,20.250
246,21.000
247,15.250
248,16.500
249,20.250
250,20.750
251,20.750
252,16.500
253,20.750
254,20.250
255,20.500
256,16.500
257,20.750
258,20.500
259,20.750
260,12.500
261,20.750
262,12.000
263,20.500
264,20.750
265,12.500
266,16.750
267,18.500
268,12.500
269,20.750
270,9.750
271,20.750
272,20.250
273,16.750
274,15.250
275,12.250
276,12.000
277,20.500
278,16.750
279,18.500
280,16.500
281,20.250
282,20.750
283,12.000
284,14.750
285,12.000
286,10.500
287,20.250
288,16.750
289,17.950
290,20.250
291,20.750
292,16.500
293,12.000
294,12.750
295,20.250
296,20.750
297,12.000
298,25.500
299,20.250
300,12.500
301,12.500
302,12.000
303,16.000
304,10.500
305,20.500
306,16.000
307,12.750
308,20.750
309,18.500
310,12.000
311,12.500
312,9.750
313,20.750
314,16.500
315,12.000
316,12.000
317,20.750
318,12.500
319,20.250
320,18.500
321,12.500
322,20.250
323,9.750
324,16.500
325,16.750
326,17.950
327,21.000
328,16.250
329,18.500
330,12.500
331,16.000
332,16.000
333,16.000
334,12.750
335,12.000
336,16.500
337,16.000
338,15.250
339,12.500
340,20.750
341,16.000
342,50.250
343,12.000
344,20.750
345,16.750
346,18.500
347,17.950
348,11.000
349,20.750
350,12.750
351,20.750
352,16.750
353,20.250
354,12.000
355,20.750
356,14.750
357,13.250
358,25.500
359,12.000
360,16.000
361,12.500
362,20.750
363,12.500
364,10.500
365,20.250
366,12.750
367,16.000
368,16.000
369,12.500
370,12.750
371,20.500
372,15.250
373,20.750
374,16.000
375,20.750
376,20.750
377,16.000
378,16.250
379,16.500
380,16.750
381,16.750
382,17.950
383,16.750
384,16.000
385,10.500
386,16.500
387,25.500
388,12.000
389,13.250
390,15.250
391,16.000
392,20.750
393,12.500
394,16.500
395,12.500
396,20.750
397,16.500
398,12.500
399,12.000
400,16.000
401,17.950
402,12.000
403,16.250
404,16.500
405,16.000
406,12.000
407,16.500
408,20.750
409,16.750
410,16.000
411,20.250
412,12.000
413,20.750
414,16.750
415,16.000
416,20.750
417,20.750
418,16.500
419,12.000
420,20.750
421,20.750
422,16.500
423,16.250
424,12.000
425,20.500
426,20.750
427,20.250
428,23.650
429,20.750
430,16.000
431,20.750
432,12.500
433,16.500
434,16.250
435,12.500
436,20.250
437,20.750
438,20.750
439,20.750
440,18.500
441,20.750
442,18.500
443,9.750
444,20.750
445,24.000
446,12.750
447,20.750
448,14.750
449,11.000
450,20.750
451,20.750
452,16.750
453,12.250
454,20.750
455,12.000
456,16.750
457,41.500
458,12.750
459,20.750
460,12.250
461,16.500
462,16.000
463,17.950
464,20.500
465,21.000
466,20.750
467,12.000
468,20.750
469,16.750
470,25.500
471,16.250
472,20.750
473,20.750
474,25.500
475,12.750
476,20.750
477,16.750
478,17.500
479,12.000
480,20.750
481,12.750
482,16.750
483,12.500
484,16.000
485,9.750
486,20.750
487,20.750
488,20.750
489,12.750
490,16.750
491,12.500
492,16.000
493,20.750
494,12.000
495,9.750
496,20.500
497,17.950
498,20.500
499,16.500
500,12.000
501,16.500
502,12.000
503,16.750
504,18.500
505,16.500
506,16.000
507,12.000
508,16.500
509,20.750
510,18.500
511,16.500
512,16.000
513,10.500
514,12.000
515,20.500
516,20.750
517,18.500
518,16.500
519,12.000
520,17.950
521,12.250
522,11.000
523,12.750
524,16.500
525,16.000
526,20.750
527,20.750
528,16.750
529,12.750
530,20.500
531,16.750
532,16.000
533,12.750
534,21.000
535,20.750
536,12.500
537,16.750
538,20.750
539,12.000
540,12.500
541,16.750
542,20.750
543,12.000
544,16.750
545,12.500
546,16.000
547,16.750
548,20.500
549,16.000
550,12.000
551,20.750
552,20.750
553,16.750
554,14.750
555,16.250
556,20.750
557,16.250
558,20.750
559,16.000
560,20.500
561,12.500
562,12.500
563,20.750
564,20.750
565,20.750
566,16.750
567,15.250
568,13.250
569,16.250
570,12.500
571,10.500
572,20.750
573,20.750
574,12.250
575,14.750
576,16.000
577,16.500
578,23.650
579,20.750
580,23.650
581,18.500
582,18.500
583,16.000
584,16.500
585,16.000
586,17.500
587,20.750
588,20.750
589,16.000
590,15.250
591,18.500
592,20.500
593,23.650
594,16.750
595,20.750
596,16.000
597,16.750
598,20.250
599,16.250
600,20.750
601,16.500
602,17.950
603,20.250
604,12.000
605,20.750
606,9.750
607,16.750
608,20.750
609,20.750
610,20.750
611,12.000
612,33.500
613,33.500
614,41.500
615,16.000
616,16.500
617,12.250
618,16.500
619,16.750
620,12.000
621,16.500
622,12.500
623,17.950
624,20.750
625,20.500
626,18.500
627,9.750
628,16.250
629,18.500
630,20.750
631,14.750
632,16.750
633,20.750
634,16.750
635,16.750
636,16.500
637,16.000
638,12.250
639,12.000
640,18.500
641,20.750
642,20.750
643,16.000
644,14.750
645,10.500
646,16.000
647,20.750
648,16.500
649,20.750
650,16.500
651,14.500
652,12.500
653,12.250
654,23.650
655,20.750
656,20.750
657,18.500
658,12.000
659,16.000
660,20.750
661,33.500
662,14.750
663,16.500
664,20.250
665,12.000
666,12.750
667,16.750
668,20.750
669,20.750
670,16.750
671,12.000
672,12.000
673,16.750
674,16.750
675,16.750
676,12.750
677,16.750
678,12.000
679,12.000
680,16.000
681,12.000
682,12.000
683,12.750
684,12.500
685,20.500
686,20.750
687,12.000
688,16.000
689,9.750
690,10.500
691,20.250
692,15.250
693,12.250
694,16.500
695,12.000
696,10.500
697,16.000
698,20.500
699,16.750
700,16.500
701,17.500
702,12.750
703,18.500
704,16.500
705,10.500
706,12.750
707,20.250
708,12.000
709,23.650
710,16.750
711,16.250
712,16.000
713,16.250
714,18.500
715,16.000
716,13.250
717,16.000
718,16.000
719,10.500
720,16.500
721,12.750
722,16.000
723,17.950
724,10.500
725,17.500
726,12.500
727,12.000
728,20.500
729,20.250
730,12.500
731,20.750
732,16.500
733,16.750
734,20.750
735,20.750
736,20.750
737,20.750
738,12.000
739,20.750
740,16.000
741,18.500
742,12.000
743,12.000
744,16.750
745,20.750
746,16.000
747,20.250
748,20.750
749,16.500
750,12.000
751,16.750
752,16.000
753,12.000
754,18.500
755,35.900
756,16.500
757,17.500
758,12.500
759,20.250
760,20.750
761,16.500
762,20.250
763,16.000
764,16.500
765,16.250
766,20.750
767,16.750
768,16.750
769,20.250
770,12.500
771,16.750
772,20.750
773,20.250
774,20.750
775,16.500
776,15.250
777,20.250
778,20.750
779,25.500
780,16.500
781,12.500
782,16.750
783,9.750
784,20.250
785,20.750
786,18.500
787,14.750
788,16.000
789,12.500
790,12.000
791,12.000
792,10.500
793,20.500
794,12.000
795,20.250
796,20.750
797,16.000
798,16.000
799,20.750
800,12.750
801,15.250
802,20.500
803,25.000
804,12.500
805,12.000
806,13.250
807,12.000
808,20.500
809,20.750
810,20.750
811,12.500
812,12.000
813,20.250
814,16.750
815,16.500
816,16.750
817,20.750
818,12.750
819,12.000
820,16.500
821,16.000
822,20.750
823,20.750
824,12.000
825,10.500
826,24.000
827,12.000
828,16.750
829,20.250
830,20.250
831,20.250
832,16.500
833,25.500
834,14.750
835,20.250
836,12.500
837,20.500
838,16.500
839,16.000
840,16.500
841,20.750
842,16.000
843,17.950
844,10.500
845,12.500
846,12.000
847,12.750
848,16.000
849,20.250
850,12.000
851,16.750
852,12.500
853,16.000
854,25.500
855,20.250
856,13.250
857,20.750
858,12.750
859,20.750
860,16.250
861,16.750
862,16.750
863,12.750
864,16.000
865,16.500
866,10.500
867,16.000
868,16.000
869,12.000
870,20.250
871,12.750
872,16.500
873,16.750
874,12.750
875,12.000
876,16.750
877,18.500
878,9.750
879,20.750
880,12.000
881,12.750
882,16.750
883,16.000
884,12.000
885,20.750
886,17.500
887,16.000
888,12.000
889,12.250
890,20.750
891,19.500
892,20.750
893,20.250
894,20.750
895,20.750
896,12.000
897,16.500
898,12.000
899,12.750
900,16.500
901,10.500
902,17.500
903,37.500
904,9.750
905,20.250
906,20.750
907,12.500
908,20.750
909,12.000
910,16.000
911,12.000
912,37.000
913,16.500
914,12.500
915,9.750
916,16.750
917,20.750
918,14.750
919,16.000
920,12.500
921,20.750
922,16.000
923,17.950
924,16.500
925,12.750
926,20.500
927,12.500
928,20.750
929,20.250
930,16.750
931,16.000
932,12.750
933,16.750
934,20.500
935,12.500
936,23.650
937,16.500
938,15.250
939,24.000
940,16.000
941,25.500
942,16.500
943,20.750
944,23.650
945,16.500
946,12.000
947,12.000
948,18.500
949,16.500
950,12.750
951,20.250
952,9.750
953,16.750
954,16.250
955,20.750
956,16.500
957,16.750
958,12.000
959,18.500
960,11.000
961,20.750
962,20.250
963,12.750
964,17.950
965,16.500
966,16.000
967,20.750
968,12.250
969,12.500
970,16.500
971,16.000
972,12.250
973,16.500
974,20.250
975,20.250
976,12.000
977,16.500
978,16.000
979,12.250
980,12.000
981,12.750
982,17.950
983,16.500
984,12.000
985,20.750
986,12.000
987,20.750
988,16.000
989,20.750
990,20.250
991,16.000
992,14.500
993,12.500
994,20.500
995,16.500
996,11.000
997,12.500
998,16.750
999,16.000
1000,16.750
1001,12.500
1002,12.000
1003,16.250
1004,16.750
1005,18.500
1006,17.950
1007,14.750
1008,20.250
1009,16.000
1010,16.500
1011,21.000
1012,15.250
1013,20.750
1014,12.000
1015,20.750
1016,16.000
1017,20.750
1018,20.750
1019,20.750
1020,12.000
1021,33.500
1022,17.950
1023,16.000
1024,16.750
1025,20.250
1026,15.250
1027,20.250
1028,16.250
1029,16.750
1030,20.750
1031,12.500
1032,16.500
1033,16.750
1034,14.750
1035,16.500
1036,12.000
1037,16.750
1038,20.250
1039,18.500
1040,10.500
1041,14.500
1042,16.250
1043,20.750
1044,12.000
1045,18.500
1046,16.000
1047,20.750
1048,16.750
1049,12.000
1050,16.250
1051,12.750
1052,17.950
1053,16.250
1054,20.750
1055,16.500
1056,20.750
1057,20.250
1058,20.750
1059,16.750
1060,16.000
1061,16.500
1062,16.500
1063,12.000
1064,20.750
1065,12.000
1066,16.500
1067,16.750
1068,10.500
1069,12.000
1070,20.750
1071,16.500
1072,20.750
1073,16.250
1074,12.000
1075,20.250
1076,25.500
1077,12.500
1078,17.950
1079,15.250
1080,16.750
1081,12.250
1082,12.000
1083,12.750
1084,21.000
1085,16.750
1086,16.500
1087,16.500
1088,16.750
1089,12.000
1090,9.750
1091,12.000
1092,20.750
1093,12.500
1094,20.750
1095,16.000
1096,16.000
1097,16.000
1098,16.250
1099,16.750
1100,18.500
1101,41.000
1102,12.500
1103,9.750
1104,12.000
1105,20.250
1106,16.500
1107,12.500
1108,20.750
1109,12.000
1110,11.000
1111,16.500
1112,17.950
1113,20.250
1114,16.750
1115,12.500
1116,10.500
1117,20.250
1118,20.250
1119,16.000
1120,20.750
1121,12.000
1122,16.000
1123,16.000
1124,12.000
1125,15.250
1126,20.750
1127,16.500
1128,20.750
1129,16.250
1130,16.000
1131,20.750
1132,18.500
1133,17.950
1134,20.250
1135,20.750
1136,16.500
1137,20.250
1138,16.500
1139,12.500
1140,12.000
1141,16.500
1142,12.250
1143,17.950
1144,16.000
1145,14.500
1146,16.000
1147,12.750
1148,10.500
1149,20.750
1150,16.750
1151,15.250
1152,16.250
1153,20.500
1154,12.500
1155,25.500
1156,16.000
1157,12.750
1158,16.750
1159,12.750
1160,12.500
1161,20.750
1162,16.000
1163,12.000
1164,20.750
1165,20.750
1166,18.500
1167,16.750
1168,17.950
1169,16.750
1170,15.250
1171,20.750
1172,12.000
1173,20.750
1174,20.250
1175,20.500
1176,20.250
1177,16.000
1178,12.000
1179,20.750
1180,12.250
1181,12.500
1182,20.750
1183,12.750
1184,12.750
1185,12.000
1186,12.000
1187,18.500
1188,35.900
1189,12.000
1190,32.000
1191,21.000
1192,20.250
1193,20.500
1194,16.000
1195,16.500
1196,12.250
1197,16.750
1198,15.250
1199,20.750
1200,18.500
1201,17.950
1202,20.750
1203,16.000
1204,16.250
1205,33.500
1206,10.500
1207,20.500
1208,16.500
1209,33.000
1210,20.750
1211,12.500
1212,18.500
1213,20.750
1214,25.500
1215,20.750
1216,20.750
1217,16.000
1218,23.650
1219,20.750
1220,12.000
1221,10.500
1222,20.750
1223,20.750
1224,18.500
1225,21.000
1226,16.000
1227,20.750
1228,12.000
1229,20.750
1230,16.500
1231,20.750
1232,16.000
1233,16.000
1234,16.000
1235,16.250
1236,15.250
1237,9.750
1238,20.750
1239,20.750
1240,12.000
1241,12.000
1242,16.500
1243,12.000
1244,20.750
1245,16.000
1246,16.000
1247,17.950
1248,16.500
1249,20.750
1250,16.000
1251,16.750
1252,12.000
1253,20.750
1254,20.250
1255,16.750
1256,12.000
1257,12.750
1258,10.500
1259,17.950
1260,25.500
1261,12.250
1262,12.500
1263,13.250
1264,12.000
1265,16.000
1266,16.500
1267,12.500
1268,16.750
1269,20.250
1270,12.000
1271,12.000
1272,12.500
1273,20.750
1274,12.750
1275,20.750
1276,20.750
1277,37.000
1278,14.750
1279,12.500
1280,16.250
1281,12.250
1282,20.750
1283,20.750
1284,16.500
1285,12.750
1286,20.250
1287,12.750
1288,16.750
1289,12.000
1290,16.000
1291,20.750
1292,12.000
1293,16.750
1294,16.000
1295,18.500
1296,16.750
1297,20.500
1298,20.500
1299,15.250
1300,16.000
1301,12.000
1302,16.750
1303,12.000
1304,16.000
1305,20.250
1306,12.750
1307,16.250
1308,15.250
1309,16.500
1310,25.500
1311,12.000
1312,13.250
1313,16.750
1314,20.250
1315,20.250
1316,20.750
1317,12.250
1318,12.500
1319,23.650
1320,20.250
1321,16.000
1322,16.750
1323,20.750
1324,12.500
1325,12.750
1326,12.500
1327,16.000
1328,12.000
1329,18.500
1330,17.950
1331,12.750
1332,20.750
1333,12.750
1334,14.500
1335,20.750
1336,20.750
1337,20.750
1338,20.250
1339,20.500
1340,16.500
1341,11.000
1342,12.500
1343,20.750
1344,16.500
1345,16.500
1346,20.750
1347,20.750
1348,12.000
1349,17.950
1350,16.000
1351,16.000
1352,20.750
1353,12.000
1354,16.500
1355,20.750
1356,16.000
